"Table 332.45. Percentage of graduate degree completers with student loan debt and average cumulative amount owed, by level of education funded and graduate degree type, institution control, and degree program: 
  Other master's degree\3\,"26,820",,"(1,654)","27,150",,"(1,823)","40,690",,"(1,878)","48,960",,"(2,320)","57,340",,"(3,589)","32,950",,"(2,182)","32,840",,"(2,536)","48,820",,"(2,086)","62,490",,"(2,566)","73,730",,"(3,643)",,,,,,,,,,,,,,,,,
  Ph.D. except in education,"33,870",,"(4,154)","41,860",,"(2,962)","47,950",,"(2,850)","66,450",,"(3,268)","96,750",,"(7,789)","33,740",,"(4,219)","45,080",,"(2,767)","49,180",,"(2,931)","65,070",,"(3,456)","97,000",,"(7,873)",,,,,,,,,,,,,,,,,
  Education (any doctorate),‡,,(†),"48,210",,"(9,267)","58,550",,"(7,140)","80,940",,"(6,008)","101,730",,"(12,692)",‡,,(†),"51,590",,"(8,728)","60,980",,"(7,025)","93,820",,"(7,235)","109,880",,"(13,724)",,,,,,,,,,,,,,,,,
  Medicine (M.D. or D.O.),"78,660",,"(4,069)","108,110",,"(8,209)","128,260",,"(7,373)","166,330",,"(7,790)","223,060",,"(24,919)","87,020",,"(4,317)","118,690",,"(7,793)","135,510",,"(7,906)","182,610",,"(8,001)","241,560",,"(30,768)",,,,,,,,,,,,,,,,,
"  Other health science 
     professional practice 
     doctorate\4\","72,470",,"(6,419)","79,020",,"(9,754)","91,750",,"(8,221)","133,510",,"(7,024)","190,310",,"(16,900)","80,590",,"(6,322)","94,870",,"(10,227)","108,280",,"(9,453)","157,690",,"(7,895)","198,760",,"(16,398)",,,,,,,,,,,,,,,,,
  Law (LL.B. or J.D.),"51,760",,"(2,207)","71,320",,"(3,936)","82,770",,"(2,640)","126,570",,"(5,041)","129,290",,"(10,279)","57,490",,"(2,541)","82,080",,"(4,463)","94,350",,"(3,166)","140,420",,"(5,883)","142,870",,"(10,786)",,,,,,,,,,,,,,,,,
  Other doctorate (non-Ph.D.)\5\,"36,800",,"(6,987)","64,060",,"(5,041)","81,350",,"(7,115)","104,950",,"(5,885)","115,510",,"(12,106)","44,970",,"(6,843)","71,140",,"(6,520)","88,870",,"(7,019)","119,170",,"(6,600)","129,840",,"(11,534)",,,,,,,,,,,,,,,,,
,Average cumulative amount owed (constant 2019-20 dollars)\6\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total ,"$50,580",,"($1,819)","$54,550",,"($1,990)","$53,070",,"($1,232)","$67,160",,"($1,420)","$76,620",,"($2,327)","$57,560",,"($1,775)","$63,040",,"($2,096)","$62,850",,"($1,216)","$82,660",,"($1,513)","$89,400",,"($2,296)",,,,,,,,,,,,,,,,,
"Graduate degree type and 
   institution control\1\",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Postbaccalaureate 
     certificate ","32,520",,"(4,944)","28,890",,"(6,209)","38,120",,"(3,853)","50,010",,"(5,748)","58,390",,"(8,282)","38,820",,"(4,070)","41,360",,"(5,932)","46,950",,"(4,414)","68,710",,"(6,033)","71,840",,"(8,578)",,,,,,,,,,,,,,,,,
    Public ,‡,,(†),"14,250",,"(2,372)","38,970",,"(6,480)","45,630",,"(6,917)","46,710",,"(9,153)","34,580",,"(4,728)","26,340",,"(4,120)","47,000",,"(5,829)","64,490",,"(7,012)","54,120",,"(8,722)",,,,,,,,,,,,,,,,,
    Private nonprofit ,‡,,(†),"37,150",,"(7,257)","36,790",,"(4,702)","54,950",,"(9,815)","70,910",,"(19,474)",‡,,(†),"52,210",,"(6,883)","46,440",,"(7,313)","76,820",,"(11,315)","86,370",,"(20,602)",,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),‡,,(†),"66,180",,"(6,903)",‡,,(†),‡,,(†),‡,,(†),‡,,(†),"103,100",,"(9,206)",,,,,,,,,,,,,,,,,
  Master's ,"35,770",,"(1,470)","40,160",,"(1,583)","41,710",,"(1,326)","50,950",,"(1,415)","54,290",,"(1,765)","44,660",,"(1,685)","48,720",,"(1,834)","53,290",,"(1,419)","67,830",,"(1,663)","69,920",,"(1,822)",,,,,,,,,,,,,,,,,
    Public ,"29,960",,"(1,607)","34,210",,"(1,378)","37,800",,"(1,332)","40,270",,"(1,858)","45,700",,"(2,558)","38,860",,"(1,670)","43,460",,"(1,789)","47,090",,"(1,614)","55,500",,"(2,466)","57,730",,"(2,587)",,,,,,,,,,,,,,,,,
    Private nonprofit ,"41,520",,"(2,727)","44,630",,"(2,389)","46,200",,"(1,669)","57,350",,"(2,254)","60,840",,"(2,876)","49,730",,"(3,171)","52,110",,"(2,994)","56,850",,"(1,952)","73,090",,"(2,451)","76,210",,"(2,917)",,,,,,,,,,,,,,,,,
    Private for-profit ,"45,080",,"(5,585)",‡,,(†),"41,160",,"(7,331)","55,960",,"(5,013)","66,940",,"(3,614)","62,180",,"(9,715)",‡,,(†),"65,760",,"(7,404)","81,270",,"(4,187)","95,740",,"(4,387)",,,,,,,,,,,,,,,,,
"  Doctor's, research ","52,640",,"(5,653)","71,910",,"(4,217)","76,220",,"(4,452)","87,690",,"(3,117)","109,560",,"(6,851)","56,720",,"(5,963)","77,700",,"(4,439)","79,240",,"(4,184)","90,800",,"(3,717)","114,900",,"(7,072)",,,,,,,,,,,,,,,,,
    Public ,"43,660",,"(4,236)","61,450",,"(3,689)","62,180",,"(4,214)","68,320",,"(4,062)","91,560",,"(10,130)","48,230",,"(4,626)","66,950",,"(4,152)","65,630",,"(3,981)","71,470",,"(4,501)","97,710",,"(9,299)",,,,,,,,,,,,,,,,,
    Private nonprofit ,"64,980",,"(14,449)","84,750",,"(7,908)","95,760",,"(8,570)","95,420",,"(6,278)","96,550",,"(14,849)","68,870",,"(14,657)","91,990",,"(8,861)","98,860",,"(8,057)","96,530",,"(6,099)","99,720",,"(14,768)",,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),"142,340",,"(8,662)","156,420",,"(8,144)",‡,,(†),‡,,(†),‡,,(†),"158,620",,"(8,759)","169,770",,"(9,198)",,,,,,,,,,,,,,,,,
"  Doctor's, professional\2\ ","94,090",,"(4,121)","108,990",,"(5,333)","111,140",,"(3,525)","149,890",,"(3,470)","185,330",,"(10,133)","104,050",,"(4,547)","125,280",,"(5,746)","124,670",,"(3,869)","169,710",,"(4,120)","197,780",,"(11,137)",,,,,,,,,,,,,,,,,
    Public ,"81,240",,"(4,368)","92,250",,"(4,148)","98,970",,"(5,653)","129,510",,"(4,433)","141,150",,"(9,142)","92,420",,"(4,824)","107,850",,"(4,398)","111,610",,"(6,248)","147,180",,"(4,655)","151,210",,"(10,325)",,,,,,,,,,,,,,,,,
    Private nonprofit ,"104,740",,"(6,448)","124,150",,"(7,953)","118,510",,"(4,999)","161,140",,"(4,655)","221,360",,"(17,629)","113,470",,"(6,950)","141,450",,"(8,398)","132,530",,"(5,634)","181,090",,"(5,669)","235,150",,"(20,006)",,,,,,,,,,,,,,,,,
    Private for-profit ,‡,,(†),‡,,(†),‡,,(†),"198,830",,"(20,392)","180,690",,"(6,326)",‡,,(†),‡,,(†),‡,,(†),"208,760",,"(24,424)","201,650",,"(6,345)",,,,,,,,,,,,,,,,,
Graduate degree program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Postbaccalaureate 
     certificate ","32,520",,"(4,944)","28,890",,"(6,209)","38,120",,"(3,853)","50,010",,"(5,748)","58,390",,"(8,282)","38,820",,"(4,070)","41,360",,"(5,932)","46,950",,"(4,414)","68,710",,"(6,033)","71,840",,"(8,578)",,,,,,,,,,,,,,,,,
"  Master of business 
     administration (M.B.A.)","42,440",,"(4,340)","49,880",,"(5,881)","44,250",,"(4,466)","46,190",,"(3,260)","54,140",,"(4,085)","50,230",,"(3,703)","59,050",,"(6,280)","57,720",,"(3,660)","58,130",,"(4,316)","70,260",,"(4,507)",,,,,,,,,,,,,,,,,
  Master of education (any),"27,340",,"(1,891)","35,850",,"(2,002)","36,350",,"(2,071)","47,030",,"(2,836)","45,080",,"(3,691)","34,130",,"(2,471)","43,940",,"(2,673)","47,800",,"(3,089)","66,380",,"(4,202)","58,490",,"(3,681)",,,,,,,,,,,,,,,,,
"  Other master of arts (M.A.)    
     except in education","34,800",,"(3,016)","38,950",,"(5,143)","43,690",,"(3,887)","55,220",,"(4,016)","57,130",,"(5,576)","46,700",,"(4,426)","51,730",,"(5,422)","58,270",,"(5,062)","74,980",,"(6,289)","77,150",,"(5,446)",,,,,,,,,,,,,,,,,
"  Other master of science (M.S.) 
     except in education","34,950",,"(2,462)","41,200",,"(4,096)","40,840",,"(2,495)","51,380",,"(3,016)","51,770",,"(3,261)","47,590",,"(3,679)","48,580",,"(4,289)","52,140",,"(2,934)","68,840",,"(3,403)","66,070",,"(3,189)",,,,,,,,,,,,,,,,,
"  Theology (M.Div., M.H.L.,
     or B.D.)",‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),‡,,(†),,,,,,,,,,,,,,,,,
  Other master's degree\3\ ,"40,750",,"(2,513)","37,530",,"(2,519)","49,440",,"(2,282)","55,340",,"(2,622)","61,900",,"(3,875)","50,070",,"(3,316)","45,390",,"(3,506)","59,320",,"(2,534)","70,640",,"(2,901)","79,600",,"(3,933)",,,,,,,,,,,,,,,,,
  Ph.D. except in education ,"51,460",,"(6,312)","57,860",,"(4,094)","58,260",,"(3,462)","75,110",,"(3,694)","104,450",,"(8,409)","51,260",,"(6,410)","62,310",,"(3,824)","59,760",,"(3,562)","73,560",,"(3,907)","104,720",,"(8,499)",,,,,,,,,,,,,,,,,
  Education (any doctorate),‡,,(†),"66,640",,"(12,809)","71,140",,"(8,675)","91,490",,"(6,791)","109,820",,"(13,702)",‡,,(†),"71,310",,"(12,065)","74,100",,"(8,536)","106,050",,"(8,178)","118,630",,"(14,816)",,,,,,,,,,,,,,,,,
  Medicine (M.D. or D.O.),"119,520",,"(6,183)","149,430",,"(11,347)","155,850",,"(8,958)","188,010",,"(8,805)","240,800",,"(26,901)","132,230",,"(6,560)","164,060",,"(10,771)","164,650",,"(9,606)","206,410",,"(9,044)","260,780",,"(33,215)",,,,,,,,,,,,,,,,,
"  Other health science 
     professional practice 
     doctorate\4\","110,110",,"(9,753)","109,230",,"(13,482)","111,480",,"(9,989)","150,920",,"(7,939)","205,450",,"(18,245)","122,450",,"(9,605)","131,140",,"(14,137)","131,570",,"(11,486)","178,240",,"(8,924)","214,570",,"(17,702)",,,,,,,,,,,,,,,,,
  Law (LL.B. or J.D.),"78,650",,"(3,353)","98,580",,"(5,440)","100,570",,"(3,208)","143,070",,"(5,698)","139,580",,"(11,096)","87,360",,"(3,861)","113,460",,"(6,168)","114,640",,"(3,847)","158,720",,"(6,649)","154,230",,"(11,644)",,,,,,,,,,,,,,,,,
  Other doctorate (non-Ph.D.)\5\,"55,920",,"(10,617)","88,550",,"(6,967)","98,840",,"(8,646)","118,630",,"(6,652)","124,700",,"(13,068)","68,320",,"(10,397)","98,340",,"(9,012)","107,990",,"(8,529)","134,700",,"(7,460)","140,160",,"(12,452)",,,,,,,,,,,,,,,,,
†Not applicable. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
‡Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\1\Individuals who attended more than one institution for graduate studies are included in the subtotals by degree type but excluded from the detail by control of institution. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\2\Includes chiropractic, dentistry, law, medicine, optometry, pharmacy, podiatry, and veterinary medicine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\3\Includes public administration or policy, social work, fine arts, public health, and other.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\4\Includes chiropractic, dentistry, optometry, pharmacy, podiatry, and veterinary medicine.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\5\Includes science or engineering, psychology, business or public administration, fine arts, theology, and other. Estimates for 2011–12 and 2015–16 also include ""other professional practice doctoral degrees,"" which were not reported as a separate category in previous years. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"\6\Constant dollars based on the Consumer Price Index, prepared by the Bureau of Labor Statistics, U.S. Department of Labor, adjusted to a school-year basis. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: Data refer to students who completed graduate degrees in the academic years indicated. Data are based on the principal balance (excluding interest) as of June 30th of the survey year (e.g., the 2015‒16 data are based on the principal balance as of June 30, 2016). Average amounts owed were calculated only for graduate degree completers who had outstanding loans at the level of education indicated. Data include federal and private student loans, but exclude Parent PLUS loans. Direct Subsidized Loans for graduate students were discontinued after academic year 2011–12.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, 1999-2000, 2003-04, 2007-08, 2011-12, and 2015-16 National Postsecondary Student Aid Study (NPSAS:2000, NPSAS:04, NPSAS:08, NPSAS:12, and NPSAS:16). (This table was prepared August 2020.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,