"Table 326.10. Graduation rate from first institution attended for first-time, full-time bachelor's degree-seeking 
  2006 entry cohort,65.5,68.1,44.5,62.0,76.8,77.5,52.6,51.3,77.5,71.9
  2007 entry cohort,65.3,68.3,44.5,60.9,77.0,77.5,57.6,47.9,76.8,71.5
  2008 entry cohort,65.4,68.3,44.6,61.5,76.9,77.3,60.5,48.7,73.2,72.2
  2009 entry cohort,65.6,68.8,43.5,61.2,77.9,78.5,55.6,52.0,69.6,74.8
  2010 entry cohort,65.9,69.4,42.9,61.9,78.4,79.2,54.6,49.3,68.5,74.7
  2011 entry cohort,66.5,69.7,44.0,62.8,79.1,79.8,52.6,46.1,66.4,75.2
  2012 entry cohort,67.2,70.6,44.8,63.1,79.9,80.8,52.2,48.4,65.4,74.4
  2013 entry cohort\2\,67.9,71.0,46.7,63.9,80.3,81.0,58.2,48.5,65.4,75.2
    Open admissions ,30.0,38.9,21.5,21.7,43.6,42.7,50.0,16.5,22.2,38.2
    90 percent or more accepted,53.1,56.2,35.3,50.6,56.4,59.0,25.6,39.1,48.9,57.3
    75.0 to 89.9 percent accepted,64.4,68.3,45.5,57.7,68.1,68.4,62.9,44.2,56.7,64.8
    50.0 to 74.9 percent accepted,63.8,68.2,42.7,58.7,70.9,71.6,55.7,45.3,58.6,67.1
    25.0 to 49.9 percent accepted,76.8,79.8,57.1,75.2,85.4,85.9,62.5,57.0,75.6,80.7
    Less than 25.0 percent accepted ,90.1,90.9,75.2,89.4,95.8,95.9,76.3,77.0,91.4,91.6
  For-profit institutions,,,,,,,,,,
  1996 entry cohort,28.0,33.2,19.2,24.6,28.9,---,---,23.1,---,54.0
  2000 entry cohort,31.3,36.8,27.9,33.3,45.9,---,---,29.3,---,46.4
  2002 entry cohort,22.8,25.9,17.0,27.6,35.7,---,---,17.2,---,12.5
  2003 entry cohort,23.5,27.3,18.3,26.8,33.3,---,---,13.9,---,11.8
  2004 entry cohort,28.6,35.5,21.4,29.0,38.8,---,---,19.0,---,21.8
  2005 entry cohort,29.1,36.2,19.8,30.2,42.3,44.3,27.3,22.3,27.8,28.4
  2006 entry cohort,31.5,40.3,21.1,33.7,42.5,44.4,25.2,18.8,32.4,35.5
  2007 entry cohort,31.9,40.0,22.4,35.0,43.2,47.0,21.2,19.6,32.5,41.1
  2008 entry cohort,26.4,34.5,18.7,31.6,41.1,44.1,25.3,19.8,35.4,41.3
  2009 entry cohort,22.7,29.3,15.5,28.7,40.0,45.3,20.4,16.7,26.7,42.2
  2010 entry cohort,24.1,31.3,15.7,28.8,43.7,47.8,21.7,17.1,28.8,42.9
  2011 entry cohort,20.8,23.5,13.4,26.2,37.1,43.6,18.4,11.0,22.7,49.0
  2012 entry cohort,25.4,27.1,17.7,27.7,39.0,46.6,16.2,14.6,25.9,53.2
  2013 entry cohort,26.3,27.6,19.0,29.6,41.6,47.1,22.2,14.9,33.4,58.2
"  Graduating within 6 years after 
     entry, males",,,,,,,,,,
  All 4-year institutions,,,,,,,,,,
  1996 entry cohort,52.0,54.8,32.8,41.3,59.5,---,---,36.2,---,55.4
  2000 entry cohort,54.3,57.1,35.6,44.6,62.9,---,---,37.0,---,56.8
  2002 entry cohort,54.4,57.5,34.0,44.2,64.1,---,---,35.3,---,54.0
  2003 entry cohort,55.1,58.4,34.1,44.9,65.1,---,---,36.7,---,55.0
  2004 entry cohort,55.6,58.9,34.3,45.7,65.7,---,---,37.5,---,58.5
  2005 entry cohort,56.0,59.4,34.2,47.2,66.3,66.6,48.6,37.9,61.3,59.2
  2006 entry cohort,56.5,59.8,35.2,47.8,67.4,67.8,46.4,37.2,64.5,60.1
  2007 entry cohort,56.5,60.0,35.3,48.6,66.7,67.1,50.0,37.3,64.9,59.8
  2008 entry cohort,56.5,60.1,35.3,48.9,67.6,68.0,49.9,38.6,61.7,61.7
  2009 entry cohort,56.2,60.0,34.3,49.2,69.2,69.8,48.8,38.2,55.9,64.2
  2010 entry cohort,56.5,60.6,33.9,50.0,69.5,70.1,49.5,34.7,56.2,65.4
  2011 entry cohort,57.3,61.4,34.1,50.7,70.0,70.7,44.6,36.0,53.6,66.3
  2012 entry cohort,59.0,62.7,36.2,51.9,71.7,72.4,47.8,36.6,53.9,66.5
  2013 entry cohort\2\,59.9,63.4,38.0,53.3,72.3,72.9,49.4,37.9,55.6,67.6
    Open admissions ,28.1,31.9,17.6,26.9,35.3,37.0,24.4,17.3,29.0,43.4
    90 percent or more accepted,47.3,51.9,29.4,37.1,45.3,46.4,28.8,26.5,41.4,47.5
    75.0 to 89.9 percent accepted,55.5,59.0,35.1,47.7,60.9,61.5,50.8,38.2,48.6,60.7
    50.0 to 74.9 percent accepted,60.8,65.0,40.7,52.5,69.3,69.9,48.6,40.2,55.5,66.2
    25.0 to 49.9 percent accepted,70.1,74.8,43.5,64.1,78.3,78.5,64.1,52.8,69.6,74.2
    Less than 25.0 percent accepted ,87.9,89.8,67.2,85.0,92.9,93.0,87.5,76.8,88.7,87.9
    Public institutions,,,,,,,,,,
    1996 entry cohort,48.1,50.8,30.3,37.5,55.2,---,---,33.1,---,48.8
    2000 entry cohort,51.4,53.9,34.1,41.1,60.0,---,---,33.6,---,52.1
    2002 entry cohort,51.9,54.6,33.0,41.5,61.3,---,---,32.3,---,52.6
    2003 entry cohort,52.9,55.9,32.9,42.4,62.7,---,---,35.0,---,53.5
    2004 entry cohort,53.2,56.2,32.9,43.1,63.0,---,---,34.9,---,53.1
    2005 entry cohort,53.9,57.0,33.3,44.9,64.0,64.2,50.9,36.8,52.7,53.3
    2006 entry cohort,54.4,57.4,34.2,45.0,65.1,65.4,47.2,35.3,56.1,53.7
    2007 entry cohort,54.6,57.7,34.7,46.3,64.4,64.7,49.5,35.8,59.4,54.1
    2008 entry cohort,55.2,58.2,35.4,47.3,65.6,65.9,47.7,37.9,54.9,57.4
    2009 entry cohort,55.3,58.3,34.8,48.1,67.4,67.8,50.0,35.6,51.4,60.5
    2010 entry cohort,55.7,58.9,34.7,49.0,67.8,68.2,49.9,32.5,53.0,62.3
    2011 entry cohort,56.6,59.9,35.0,49.5,68.2,68.7,47.2,35.7,52.3,63.6
    2012 entry cohort,57.9,61.2,36.8,50.3,69.9,70.4,49.5,35.0,52.5,65.1
    2013 entry cohort\2\,59.0,62.1,38.4,52.0,70.7,71.2,50.1,37.3,53.7,66.0
      Open admissions ,26.5,29.0,16.8,23.1,27.5,29.2,10.3,15.7,18.3,42.3
      90 percent or more accepted,47.1,52.4,28.1,34.9,44.0,44.6,32.4,27.0,39.6,47.0
      75.0 to 89.9 percent accepted,54.2,57.5,33.6,46.6,60.2,61.0,46.3,38.0,47.5,59.6
      50.0 to 74.9 percent accepted,61.7,65.5,42.9,52.5,69.9,70.3,50.2,40.7,55.8,68.2
      25.0 to 49.9 percent accepted,68.0,72.8,40.8,61.8,76.9,77.0,67.9,55.2,68.9,71.2
      Less than 25.0 percent accepted ,84.7,87.8,57.0,78.2,90.0,90.0,87.5,80.0,86.5,85.0
    Nonprofit institutions,,,,,,,,,,
    1996 entry cohort,60.4,63.0,38.9,52.1,71.5,---,---,46.7,---,60.9
    2000 entry cohort,61.7,64.4,39.3,55.3,73.1,---,---,50.1,---,61.7
    2002 entry cohort,62.1,65.0,38.4,55.5,74.0,---,---,46.6,---,65.3
    2003 entry cohort,62.5,65.3,38.9,56.7,74.2,---,---,45.4,---,65.8
    2004 entry cohort,63.0,65.7,39.3,57.1,74.5,---,---,49.5,---,68.3
    2005 entry cohort,62.5,65.3,38.2,57.2,74.6,75.1,49.2,42.8,73.5,67.4
    2006 entry cohort,62.9,65.6,39.2,58.7,75.6,76.3,49.1,48.6,76.2,68.8
    2007 entry cohort,62.3,65.6,38.2,58.0,74.9,75.3,58.1,44.5,74.3,67.3
    2008 entry cohort,62.3,65.6,38.3,57.8,75.0,75.3,60.7,44.4,72.2,68.0
    2009 entry cohort,62.2,65.6,37.5,57.6,75.7,76.3,54.3,50.0,66.8,70.3
    2010 entry cohort,62.6,66.3,37.0,58.5,75.8,76.5,53.6,45.3,65.8,70.6
    2011 entry cohort,63.1,66.7,37.5,59.3,76.9,77.7,48.3,44.0,62.7,71.1
    2012 entry cohort,63.6,67.4,38.2,59.4,77.9,78.8,50.9,45.5,61.8,69.2
    2013 entry cohort\2\,64.1,67.6,39.7,60.1,78.2,79.0,53.6,43.0,61.7,70.5
      Open admissions ,30.1,40.2,17.2,24.7,47.7,47.4,50.0,18.4,18.6,33.8
      90 percent or more accepted,47.6,50.6,31.6,44.6,50.0,53.0,17.6,24.5,45.9,49.8
      75.0 to 89.9 percent accepted,60.8,64.6,41.3,53.3,63.7,63.6,63.9,40.8,53.2,62.8
      50.0 to 74.9 percent accepted,59.0,64.0,36.4,53.1,67.2,68.2,47.4,39.2,54.7,61.7
      25.0 to 49.9 percent accepted,73.5,77.6,47.3,70.7,82.9,83.4,56.9,50.3,70.9,76.6
      Less than 25.0 percent accepted ,89.0,90.4,70.7,88.0,94.8,94.8,87.5,76.0,89.4,89.0
    For-profit institutions,,,,,,,,,,
    1996 entry cohort,28.0,32.3,19.4,26.7,31.7,---,---,30.8,---,53.0
    2000 entry cohort,34.2,38.8,28.1,36.0,47.3,---,---,29.4,---,45.6
    2002 entry cohort,24.7,28.2,17.4,26.8,38.6,---,---,23.5,---,11.7
    2003 entry cohort,25.7,29.3,18.5,26.9,35.0,---,---,18.8,---,12.1
    2004 entry cohort,30.3,37.2,21.5,29.0,43.6,---,---,18.6,---,23.7
    2005 entry cohort,31.6,38.8,19.5,30.4,42.5,43.3,36.0,27.7,28.5,29.4
    2006 entry cohort,35.4,43.9,23.5,35.4,44.0,45.5,27.6,19.6,34.6,37.4
    2007 entry cohort,35.7,44.9,23.3,36.0,43.7,45.9,23.9,27.2,28.9,41.4
    2008 entry cohort,27.8,37.0,17.8,30.6,43.0,44.4,29.9,18.8,31.8,33.4
    2009 entry cohort,23.9,32.1,16.0,27.4,40.9,44.9,16.5,16.4,28.7,33.2
    2010 entry cohort,26.8,36.8,17.1,29.1,46.7,49.3,27.2,18.6,33.7,35.0
    2011 entry cohort,21.7,26.6,12.9,26.6,36.7,41.3,19.4,10.6,24.8,42.9
    2012 entry cohort,25.6,28.5,17.0,28.0,40.1,45.3,21.5,14.8,26.7,43.6
    2013 entry cohort,27.6,30.2,19.4,29.3,40.8,44.8,21.3,19.9,38.5,53.5
"  Graduating within 6 years after 
     entry, females",,,,,,,,,,
  All 4-year institutions,,,,,,,,,,
  1996 entry cohort,58.2,60.9,43.0,49.1,66.8,---,---,39.5,---,61.5
  2000 entry cohort,60.2,62.8,46.4,52.4,70.1,---,---,42.7,---,63.1
  2002 entry cohort,59.9,62.8,44.3,52.6,70.0,---,---,40.8,---,56.9
  2003 entry cohort,60.0,63.3,43.2,52.2,70.7,---,---,40.2,---,57.3
  2004 entry cohort,60.7,63.9,43.3,53.5,71.3,---,---,40.9,---,65.0
  2005 entry cohort,60.8,64.2,43.0,53.8,71.8,72.2,48.1,40.3,66.7,66.6
  2006 entry cohort,61.4,64.9,43.6,54.9,72.6,73.1,50.2,42.5,68.1,67.6
  2007 entry cohort,61.9,65.4,44.5,55.5,73.0,73.6,49.1,43.1,69.9,68.7
  2008 entry cohort,62.3,65.9,44.7,57.0,73.4,74.1,50.0,42.8,67.7,70.2
  2009 entry cohort,62.1,66.1,43.2,57.0,75.1,75.9,48.2,43.6,61.7,74.0
  2010 entry cohort,62.3,66.4,43.3,57.7,75.9,76.6,52.1,41.4,61.9,75.4
  2011 entry cohort,63.0,66.9,43.9,58.2,76.4,77.2,52.1,38.9,59.8,76.7
  2012 entry cohort,65.3,68.6,46.9,60.4,77.5,78.3,50.1,43.8,60.7,77.8
  2013 entry cohort\2\,66.3,69.4,48.9,61.2,78.2,78.9,56.5,43.1,62.1,77.9
    Open admissions ,29.1,32.9,21.4,25.7,34.1,36.2,23.9,12.5,26.8,52.2
    90 percent or more accepted,55.7,60.2,38.0,46.9,56.0,57.4,37.8,33.8,49.5,61.9
    75.0 to 89.9 percent accepted,62.0,65.8,43.7,55.3,67.7,68.5,54.9,45.1,54.3,69.3
    50.0 to 74.9 percent accepted,67.6,71.4,52.0,61.0,75.3,75.7,60.0,45.9,62.1,76.3
    25.0 to 49.9 percent accepted,76.3,79.8,56.7,73.2,84.7,84.8,74.4,62.0,76.6,81.4
    Less than 25.0 percent accepted ,90.4,91.2,73.9,88.2,95.7,95.8,75.6,77.4,93.1,93.8
    Public institutions,,,,,,,,,,
    1996 entry cohort,54.7,57.4,41.0,45.7,63.5,---,---,37.0,---,54.9
    2000 entry cohort,57.7,59.9,45.2,49.7,67.9,---,---,40.5,---,58.1
    2002 entry cohort,57.7,60.1,43.9,50.2,67.8,---,---,38.4,---,59.2
    2003 entry cohort,58.2,61.0,42.4,50.4,68.8,---,---,38.9,---,59.7
    2004 entry cohort,58.6,61.5,42.3,51.5,69.2,---,---,38.5,---,62.3
    2005 entry cohort,58.8,61.8,42.4,51.9,69.7,70.0,48.7,38.5,58.4,62.0
    2006 entry cohort,59.6,62.7,43.3,52.9,71.1,71.5,50.7,40.5,57.8,62.6
    2007 entry cohort,60.3,63.3,44.1,54.1,71.3,71.8,49.9,42.3,61.5,63.4
    2008 entry cohort,61.2,64.3,45.1,56.1,72.0,72.6,50.3,41.0,62.1,65.3
    2009 entry cohort,61.4,64.5,44.2,56.4,73.8,74.5,49.8,41.8,56.9,70.3
    2010 entry cohort,61.7,64.9,44.2,57.2,74.4,75.0,54.8,39.3,58.9,73.2
    2011 entry cohort,62.4,65.7,45.0,57.8,75.3,75.8,57.9,39.0,57.5,75.2
    2012 entry cohort,64.0,67.1,46.9,59.7,76.2,76.8,53.7,43.1,58.7,76.2
    2013 entry cohort\2\,65.2,68.1,49.0,60.4,77.1,77.6,58.2,41.6,60.3,76.2
      Open admissions ,32.0,35.4,23.2,26.4,34.8,35.7,26.3,14.4,24.7,47.1
      90 percent or more accepted,55.0,60.0,37.6,44.1,53.8,55.0,39.2,29.6,48.9,58.8
      75.0 to 89.9 percent accepted,60.4,64.0,42.7,53.8,66.3,67.2,51.4,45.0,53.2,70.8
      50.0 to 74.9 percent accepted,67.7,71.5,53.4,60.7,75.9,76.2,59.4,44.5,62.4,77.7
      25.0 to 49.9 percent accepted,74.1,78.3,52.3,71.5,83.7,83.8,80.0,61.6,75.5,77.1
      Less than 25.0 percent accepted ,87.9,90.6,59.1,83.4,94.2,94.3,82.6,75.0,93.8,92.6
    Nonprofit institutions,,,,,,,,,,
    1996 entry cohort,65.4,67.9,48.4,58.3,75.0,---,---,49.2,---,66.4
    2000 entry cohort,66.7,69.1,50.4,61.7,76.7,---,---,51.5,---,67.8
    2002 entry cohort,66.9,69.5,49.0,62.3,76.9,---,---,52.1,---,71.7
    2003 entry cohort,67.2,69.8,49.2,61.3,77.3,---,---,49.3,---,73.2
    2004 entry cohort,67.4,69.7,49.2,63.0,77.6,---,---,51.7,---,74.5
    2005 entry cohort,67.3,69.8,48.1,62.6,77.9,78.4,54.9,49.2,76.5,75.1
    2006 entry cohort,67.6,70.1,48.5,64.2,77.7,78.4,55.1,53.0,78.3,75.4
    2007 entry cohort,67.7,70.5,49.2,62.9,78.6,79.3,57.3,50.6,78.4,76.0
    2008 entry cohort,67.9,70.5,49.3,64.1,78.4,78.9,60.4,51.8,73.9,76.6
    2009 entry cohort,68.3,71.4,48.2,63.8,79.6,80.2,56.7,53.5,71.4,79.4
    2010 entry cohort,68.5,71.8,47.5,64.3,80.4,81.3,55.4,52.1,70.3,79.2
    2011 entry cohort,69.2,72.2,49.0,65.3,80.7,81.4,56.0,47.8,69.0,79.7
    2012 entry cohort,70.1,73.1,50.3,65.7,81.5,82.4,53.1,50.6,67.9,80.3
    2013 entry cohort\2\,71.0,73.7,52.5,66.6,81.8,82.5,61.6,52.7,68.1,80.4
      Open admissions ,29.9,36.9,25.9,19.5,39.8,38.3,50.0,15.1,24.8,45.8
      90 percent or more accepted,57.5,60.7,38.9,54.5,60.7,63.0,31.8,52.6,50.8,68.2
      75.0 to 89.9 percent accepted,67.0,71.0,48.5,60.3,70.9,71.4,62.2,46.0,59.1,67.6
      50.0 to 74.9 percent accepted,67.7,71.6,48.5,62.5,73.5,74.0,62.5,50.4,61.6,73.6
      25.0 to 49.9 percent accepted,79.4,81.6,63.5,78.3,87.2,87.6,66.0,62.2,78.3,84.5
      Less than 25.0 percent accepted ,91.2,91.4,79.0,90.8,96.6,96.7,68.2,77.8,92.9,94.2
    For-profit institutions,,,,,,,,,,
    1996 entry cohort,27.9,34.5,19.0,21.9,24.9,---,---,17.3,---,55.1
    2000 entry cohort,27.9,34.0,27.7,30.0,43.2,---,---,29.1,---,47.5
    2002 entry cohort,21.1,23.6,16.7,28.4,31.7,---,---,12.1,---,13.0
    2003 entry cohort,21.8,25.6,18.2,26.7,31.6,---,---,10.8,---,11.6
    2004 entry cohort,26.9,33.6,21.3,28.9,33.1,---,---,19.3,---,20.4
    2005 entry cohort,26.9,33.3,20.0,30.0,42.1,45.8,17.6,18.7,26.9,27.7
    2006 entry cohort,28.0,35.8,19.5,32.1,40.8,43.3,23.5,18.2,29.3,33.9
    2007 entry cohort,28.4,33.8,21.8,34.1,42.8,48.1,19.7,14.3,37.6,40.8
    2008 entry cohort,25.3,31.9,19.3,32.5,39.4,43.8,23.5,20.6,40.6,48.0
    2009 entry cohort,21.7,26.6,15.2,29.8,39.3,45.8,22.2,16.9,25.1,49.7
    2010 entry cohort,21.5,25.4,14.3,28.6,40.3,45.9,17.9,16.0,22.1,49.8
    2011 entry cohort,20.1,21.1,13.8,25.9,37.4,46.0,17.7,11.2,19.8,54.0
    2012 entry cohort,25.2,25.6,18.5,27.3,37.8,48.3,12.0,14.5,24.6,62.0
    2013 entry cohort,25.1,25.3,18.6,29.9,42.5,49.7,22.8,11.1,27.4,62.4
---Not available.,,,,,,,,,,
\1\Race/ethnicity not collected.,,,,,,,,,,
"\2\Includes institutions that did not report admissions data, which are not shown separately.",,,,,,,,,,
NOTE: Data in this table represent the 50 states and the District of Columbia. Data are for 4-year degree-granting postsecondary institutions participating in Title IV federal financial aid programs. Graduation rates refer to students receiving bachelor's degrees from their initial institutions of attendance only. Totals include data for persons whose race/ethnicity was not reported. Race categories exclude persons of Hispanic ethnicity. Some data have been revised from previously published figures.,,,,,,,,,,
"SOURCE: U.S. Department of Education, National Center for Education Statistics, Integrated Postsecondary Education Data System (IPEDS), Spring 2002 through Spring 2013 and Winter 2013-14 through Winter 2019-20, Graduation Rates component; and IPEDS Fall 2013, Institutional Characteristics component. (This table was prepared August 2020.)",,,,,,,,,,
